Timestamp,CLOSE
1519788000000.0,883.31
1519787700000.0,882.59
1519787400000.0,881.74
1519787100000.0,881.75
1519786800000.0,880.9
1519786500000.0,880.3
1519786200000.0,880.96
1519785900000.0,881.51
1519785600000.0,881.49
1519785300000.0,883.22
1519785000000.0,882.0
1519784700000.0,881.58
1519784400000.0,880.39
1519784100000.0,882.74
1519783800000.0,883.29
1519783500000.0,883.77
1519783200000.0,883.24
1519782900000.0,882.02
1519782600000.0,881.73
1519782300000.0,881.22
1519782000000.0,881.29
1519781700000.0,882.82
1519781400000.0,882.81
1519781100000.0,882.23
1519780800000.0,882.54
1519780500000.0,882.54
1519780200000.0,880.8
1519779900000.0,879.11
1519779600000.0,878.46
1519779300000.0,877.91
1519779000000.0,875.71
1519778700000.0,876.7
1519778400000.0,876.63
1519778100000.0,877.01
1519777800000.0,877.01
1519777500000.0,876.14
1519777200000.0,875.43
1519776900000.0,873.99
1519776600000.0,874.14
1519776300000.0,870.39
1519776000000.0,872.29
1519775700000.0,871.73
1519775400000.0,874.5
1519775100000.0,874.61
1519774800000.0,875.48
1519774500000.0,874.48
1519774200000.0,875.18
1519773900000.0,874.68
1519773600000.0,874.51
1519773300000.0,878.05
1519773000000.0,878.66
1519772700000.0,878.8
1519772400000.0,878.94
1519772100000.0,878.05
1519771800000.0,879.17
1519771500000.0,878.41
1519771200000.0,878.44
1519770900000.0,880.0
1519770600000.0,881.08
1519770300000.0,881.68
1519770000000.0,881.34
1519769700000.0,881.52
1519769400000.0,882.49
1519769100000.0,882.69
1519768800000.0,882.74
1519768500000.0,881.07
1519768200000.0,881.06
1519767900000.0,881.64
1519767600000.0,880.57
1519767300000.0,880.1
1519767000000.0,879.61
1519766700000.0,879.37
1519766400000.0,879.34
1519766100000.0,879.34
1519765800000.0,879.31
1519765500000.0,879.0
1519765200000.0,878.24
1519764900000.0,877.9
1519764600000.0,878.24
1519764300000.0,877.64
1519764000000.0,877.46
1519763700000.0,880.6
1519763400000.0,880.59
1519763100000.0,881.56
1519762800000.0,881.57
1519762500000.0,881.18
1519762200000.0,880.51
1519761900000.0,881.18
1519761600000.0,879.06
1519761300000.0,877.78
1519761000000.0,877.17
1519760700000.0,878.83
1519760400000.0,879.87
1519760100000.0,878.06
1519759800000.0,879.1
1519759500000.0,877.89
1519759200000.0,878.15
1519758900000.0,877.5
1519758600000.0,876.8
1519758300000.0,877.75
1519758000000.0,875.87
1519757700000.0,874.01
1519757400000.0,874.42
1519757100000.0,873.3
1519756800000.0,872.21
1519756500000.0,871.66
1519756200000.0,871.48
1519755900000.0,872.61
1519755600000.0,871.47
1519755300000.0,869.88
1519755000000.0,870.46
1519754700000.0,869.51
1519754400000.0,869.2
1519754100000.0,869.02
1519753800000.0,869.63
1519753500000.0,869.16
1519753200000.0,871.11
1519752900000.0,871.65
1519752600000.0,871.64
1519752300000.0,871.56
1519752000000.0,871.6
1519751700000.0,871.86
1519751400000.0,871.64
1519751100000.0,870.99
1519750800000.0,870.96
1519750500000.0,873.64
1519750200000.0,873.97
